ItemName,ComponentName,ComponentAmount
Harrow Chassis,Alloy Plate,20000
Harrow Chassis,Salvage,25000
Harrow Chassis,Oxium,800
Harrow Chassis,Orokin Cell,5
Harrow Systems,Credits,15000
Harrow Systems,Circuits,2500
Harrow Systems,Cryotic,1000
Harrow Systems,Ferrite,25000
Harrow Systems,Control Module,15
Revenant,Credits,25000
Revenant,Revenant Chassis,1
Revenant,Revenant Neuroptics,1
Revenant,Revenant Systems,1
Revenant Neuroptics,Credits,15000
Revenant Neuroptics,Neural Sensors,3
Revenant Neuroptics,Sentient Core,15
Revenant Neuroptics,Polymer Bundle,6000
Revenant Neuroptics,Rubedo,2200
Revenant Chassis,Credits,15000
Revenant Chassis,Morphics,3
Revenant Chassis,Sentient Core,10
Revenant Chassis,Rubedo,1500
Revenant Chassis,Iradite,50
Revenant Systems,Credits,15000
Revenant Systems,Control Module,3
Revenant Systems,Cetus Wisp,3
Revenant Systems,Salvage,8000
Revenant Systems,Polymer Bundle,3000
Hydroid Prime,Credits,25000
Hydroid Prime,Hydroid Prime Chassis,1
Hydroid Prime,Hydroid Prime Neuroptics,1
Hydroid Prime,Hydroid Prime Systems,1
Hydroid Prime Neuroptics,Credits,15000
Hydroid Prime Neuroptics,Neural Sensors,5
Hydroid Prime Neuroptics,Plastids,1100
Hydroid Prime Neuroptics,Alloy Plate,8750
Hydroid Prime Neuroptics,Nano Spores,12750
Hydroid Prime Chassis,Credits,15000
Hydroid Prime Chassis,Argon Crystal,2
Hydroid Prime Chassis,Gallium,5
Hydroid Prime Chassis,Salvage,10500
Hydroid Prime Chassis,Ferrite,6750
Hydroid Prime Systems,Credits,15000
Hydroid Prime Systems,Nitain Extract,2
Hydroid Prime Systems,Control Module,10
Hydroid Prime Systems,Circuits,1300
Hydroid Prime Systems,Cryotic,925
Nova Prime,Credits,25000
Nova Prime,Nova Prime Chassis,1
Nova Prime,Nova Prime Neuroptics,1
Nova Prime,Nova Prime Systems,1
Nova Prime Neuroptics,Credits,15000
Nova Prime Neuroptics,Rubedo,200
Nova Prime Neuroptics,Neural Sensors,1
Nova Prime Neuroptics,Nano Spores,400
Nova Prime Neuroptics,Plastids,500
Nova Prime Chassis,Credits,15000
Nova Prime Chassis,Morphics,1
Nova Prime Chassis,Polymer Bundle,1000
Nova Prime Chassis,Circuits,300
Nova Prime Systems,Credits,15000
Nova Prime Systems,Control Module,1
Nova Prime Systems,Morphics,1
Nova Prime Systems,Ferrite,600
Nova Prime Systems,Circuits,200
Chroma Prime,Credits,25000
Chroma Prime,Chroma Prime Chassis,1
Chroma Prime,Chroma Prime Neuroptics,1
Chroma Prime,Chroma Prime Systems,1
Chroma Prime Neuroptics,Credits,15000
Chroma Prime Neuroptics,Neurodes,4
Chroma Prime Neuroptics,Circuits,1750
Chroma Prime Neuroptics,Plastids,450
Chroma Prime Neuroptics,Nano Spores,4750
Chroma Prime Chassis,Credits,15000
Chroma Prime Chassis,Nitain Extract,2
Chroma Prime Chassis,Control Module,10
Chroma Prime Chassis,Rubedo,1600
Chroma Prime Chassis,Salvage,7800
Chroma Prime Systems,Credits,15000
Chroma Prime Systems,Argon Crystal,2
Chroma Prime Systems,Neural Sensors,5
Chroma Prime Systems,Polymer Bundle,1775
Chroma Prime Systems,Ferrite,4000
Nyx Prime,Credits,25000
Nyx Prime,Nyx Prime Chassis,1
Nyx Prime,Nyx Prime Neuroptics,1
Nyx Prime,Nyx Prime Systems,1
Nyx Prime Neuroptics,Credits,15000
Nyx Prime Neuroptics,Alloy Plate,150
Nyx Prime Neuroptics,Neural Sensors,2
Nyx Prime Neuroptics,Salvage,1000
Nyx Prime Neuroptics,Rubedo,750
Nyx Prime Chassis,Credits,15000
Nyx Prime Chassis,Gallium,3
Nyx Prime Chassis,Nano Spores,1000
Nyx Prime Chassis,Rubedo,400
Nyx Prime Systems,Credits,15000
Nyx Prime Systems,Control Module,3
Nyx Prime Systems,Orokin Cell,1
Nyx Prime Systems,Salvage,1000
Nyx Prime Systems,Circuits,500
Loki Prime,Credits,25000
Loki Prime,Loki Prime Chassis,1
Loki Prime,Loki Prime Neuroptics,1
Loki Prime,Loki Prime Systems,1
Loki Prime Neuroptics,Credits,15000
Loki Prime Neuroptics,Alloy Plate,150
Loki Prime Neuroptics,Neural Sensors,2
Loki Prime Neuroptics,Polymer Bundle,150
Loki Prime Neuroptics,Rubedo,750
Loki Prime Chassis,Credits,15000
Loki Prime Chassis,Gallium,3
Loki Prime Chassis,Nano Spores,1000
Loki Prime Chassis,Rubedo,400
Loki Prime Systems,Credits,15000
Loki Prime Systems,Control Module,3
Loki Prime Systems,Orokin Cell,1
Loki Prime Systems,Ferrite,1000
Loki Prime Systems,Circuits,500
Limbo Prime,Credits,25000
Limbo Prime,Limbo Prime Chassis,1
Limbo Prime,Limbo Prime Neuroptics,1
Limbo Prime,Limbo Prime Systems,1
Limbo Prime Neuroptics,Credits,15000
Limbo Prime Neuroptics,Neural Sensors,2
Limbo Prime Neuroptics,Cryotic,300
Limbo Prime Neuroptics,Rubedo,450
Limbo Prime Neuroptics,Nano Spores,900
Limbo Prime Chassis,Credits,15000
Limbo Prime Chassis,Argon Crystal,2
Limbo Prime Chassis,Morphics,6
Limbo Prime Chassis,Alloy Plate,1675
Limbo Prime Chassis,Circuits,550
Limbo Prime Systems,Credits,15000
Limbo Prime Systems,Nitain Extract,2
Limbo Prime Systems,Tellurium,2
Limbo Prime Systems,Salvage,3000
Limbo Prime Systems,Plastids,100
Nekros Prime,Credits,25000
Nekros Prime,Nekros Prime Chassis,1
Nekros Prime,Nekros Prime Neuroptics,1
Nekros Prime,Nekros Prime Systems,1
Nekros Prime Neuroptics,Credits,15000
Nekros Prime Neuroptics,Alloy Plate,15000
Nekros Prime Neuroptics,Neural Sensors,3
Nekros Prime Neuroptics,Polymer Bundle,12000
Nekros Prime Neuroptics,Nitain Extract,5
Nekros Prime Chassis,Credits,15000
Nekros Prime Chassis,Morphics,3
Nekros Prime Chassis,Ferrite,18000
Nekros Prime Chassis,Rubedo,6000
Nekros Prime Chassis,Argon Crystal,2
Nekros Prime Systems,Credits,15000
Nekros Prime Systems,Control Module,3
Nekros Prime Systems,Tellurium,3
Nekros Prime Systems,Salvage,15000
Nekros Prime Systems,Plastids,500
Equinox Prime,Credits,25000
Equinox Prime,Equinox Prime Chassis,1
Equinox Prime,Equinox Prime Neuroptics,1
Equinox Prime,Equinox Prime Systems,1
Equinox Prime Neuroptics,Credits,15000
Equinox Prime Neuroptics,Tellurium,2
Equinox Prime Neuroptics,Circuits,1000
Equinox Prime Neuroptics,Polymer Bundle,1275
Equinox Prime Neuroptics,Nano Spores,2350
Equinox Prime Chassis,Credits,15000
Equinox Prime Chassis,Morphics,10
Equinox Prime Chassis,Oxium,150
Equinox Prime Chassis,Gallium,5
Equinox Prime Chassis,Ferrite,4000
Equinox Prime Systems,Credits,15000
Equinox Prime Systems,Argon Crystal,2
Equinox Prime Systems,Cryotic,575
Equinox Prime Systems,Plastids,225
Equinox Prime Systems,Salvage,5400
Saryn Prime,Credits,25000
Saryn Prime,Saryn Prime Chassis,1
Saryn Prime,Saryn Prime Neuroptics,1
Saryn Prime,Saryn Prime Systems,1
Saryn Prime Neuroptics,Credits,15000
Saryn Prime Neuroptics,Alloy Plate,1500
Saryn Prime Neuroptics,Neural Sensors,2
Saryn Prime Neuroptics,Salvage,3500
Saryn Prime Neuroptics,Rubedo,750
Saryn Prime Chassis,Credits,15000
Saryn Prime Chassis,Nitain Extract,3
Saryn Prime Chassis,Nano Spores,4000
Saryn Prime Chassis,Rubedo,1200
Saryn Prime Systems,Credits,15000
Saryn Prime Systems,Nitain Extract,3
Saryn Prime Systems,Orokin Cell,1
Saryn Prime Systems,Ferrite,4000
Saryn Prime Systems,Circuits,500
Frost Prime,Credits,25000
Frost Prime,Frost Prime Chassis,1
Frost Prime,Frost Prime Neuroptics,1
Frost Prime,Frost Prime Systems,1
Frost Prime Neuroptics,Credits,15000
Frost Prime Neuroptics,Alloy Plate,150
Frost Prime Neuroptics,Neural Sensors,1
Frost Prime Neuroptics,Polymer Bundle,150
Frost Prime Neuroptics,Rubedo,500
Frost Prime Chassis,Credits,15000
Frost Prime Chassis,Morphics,1
Frost Prime Chassis,Ferrite,1000
Frost Prime Chassis,Rubedo,300
Frost Prime Systems,Credits,15000
Frost Prime Systems,Control Module,1
Frost Prime Systems,Morphics,1
Frost Prime Systems,Salvage,500
Frost Prime Systems,Plastids,220
Nidus Prime,Credits,25000
Nidus Prime,Nidus Prime Chassis,1
Nidus Prime,Nidus Prime Neuroptics,1
Nidus Prime,Nidus Prime Systems,1
Nidus Prime Neuroptics,Credits,15000
Nidus Prime Neuroptics,Argon Crystal,2
Nidus Prime Neuroptics,Cryotic,600
Nidus Prime Neuroptics,Circuits,1100
Nidus Prime Neuroptics,Nano Spores,4975
Nidus Prime Chassis,Credits,15000
Nidus Prime Chassis,Tellurium,2
Nidus Prime Chassis,Plastids,450
Nidus Prime Chassis,Polymer Bundle,1425
Nidus Prime Chassis,Alloy Plate,5500
Nidus Prime Systems,Credits,15000
Nidus Prime Systems,Nitain Extract,2
Nidus Prime Systems,Neurodes,3
Nidus Prime Systems,Rubedo,1250
Nidus Prime Systems,Salvage,3800
Ember Prime,Credits,25000
Ember Prime,Ember Prime Chassis,1
Ember Prime,Ember Prime Neuroptics,1
Ember Prime,Ember Prime Systems,1
Ember Prime Neuroptics,Credits,15000
Ember Prime Neuroptics,Alloy Plate,150
Ember Prime Neuroptics,Neural Sensors,2
Ember Prime Neuroptics,Polymer Bundle,1000
Ember Prime Neuroptics,Rubedo,750
Ember Prime Chassis,Credits,15000
Ember Prime Chassis,Morphics,3
Ember Prime Chassis,Ferrite,1000
Ember Prime Chassis,Rubedo,300
Ember Prime Systems,Credits,15000
Ember Prime Systems,Control Module,1
Ember Prime Systems,Morphics,1
Ember Prime Systems,Nano Spores,1200
Ember Prime Systems,Plastids,700
Mirage Prime,Credits,25000
Mirage Prime,Mirage Prime Chassis,1
Mirage Prime,Mirage Prime Neuroptics,1
Mirage Prime,Mirage Prime Systems,1
Mirage Prime Neuroptics,Credits,15000
Mirage Prime Neuroptics,Neurodes,5
Mirage Prime Neuroptics,Cryotic,2000
Mirage Prime Neuroptics,Polymer Bundle,2500
Mirage Prime Neuroptics,Ferrite,18000
Mirage Prime Chassis,Credits,15000
Mirage Prime Chassis,Nitain Extract,2
Mirage Prime Chassis,Morphics,20
Mirage Prime Chassis,Alloy Plate,26000
Mirage Prime Chassis,Oxium,350
Mirage Prime Systems,Credits,15000
Mirage Prime Systems,Argon Crystal,2
Mirage Prime Systems,Control Module,10
Mirage Prime Systems,Rubedo,4500
Mirage Prime Systems,Salvage,23000
Titania Prime,Credits,25000
Titania Prime,Titania Prime Chassis,1
Titania Prime,Titania Prime Neuroptics,1
Titania Prime,Titania Prime Systems,1
Titania Prime Neuroptics,Credits,15000
Titania Prime Neuroptics,Alloy Plate,5500
Titania Prime Neuroptics,Neural Sensors,6
Titania Prime Neuroptics,Oxium,225
Titania Prime Neuroptics,Argon Crystal,2
Titania Prime Chassis,Credits,15000
Titania Prime Chassis,Nitain Extract,2
Titania Prime Chassis,Nano Spores,4750
Titania Prime Chassis,Rubedo,1400
Titania Prime Chassis,Morphics,8
Titania Prime Systems,Credits,15000
Titania Prime Systems,Control Module,10
Titania Prime Systems,Tellurium,3
Titania Prime Systems,Ferrite,4300
Titania Prime Systems,Circuits,1450
Inaros Prime,Credits,25000
Inaros Prime,Inaros Prime Chassis,1
Inaros Prime,Inaros Prime Neuroptics,1
Inaros Prime,Inaros Prime Systems,1
Inaros Prime Neuroptics,Credits,15000
Inaros Prime Neuroptics,Alloy Plate,5500
Inaros Prime Neuroptics,Neural Sensors,6
Inaros Prime Neuroptics,Oxium,225
Inaros Prime Neuroptics,Argon Crystal,2
Inaros Prime Chassis,Credits,15000
Inaros Prime Chassis,Nitain Extract,2
Inaros Prime Chassis,Nano Spores,4750
Inaros Prime Chassis,Rubedo,1400
Inaros Prime Chassis,Morphics,8
Inaros Prime Systems,Credits,15000
Inaros Prime Systems,Control Module,10
Inaros Prime Systems,Tellurium,3
Inaros Prime Systems,Ferrite,4300
Inaros Prime Systems,Circuits,1450
Valkyr Prime,Credits,25000
Valkyr Prime,Valkyr Prime Chassis,1
Valkyr Prime,Valkyr Prime Neuroptics,1
Valkyr Prime,Valkyr Prime Systems,1
Valkyr Prime Neuroptics,Credits,15000
Valkyr Prime Neuroptics,Salvage,15000
Valkyr Prime Neuroptics,Neural Sensors,3
Valkyr Prime Neuroptics,Circuits,12000
Valkyr Prime Neuroptics,Nitain Extract,5
Valkyr Prime Chassis,Credits,15000
Valkyr Prime Chassis,Morphics,3
Valkyr Prime Chassis,Ferrite,18000
Valkyr Prime Chassis,Rubedo,6000
Valkyr Prime Chassis,Argon Crystal,2
Valkyr Prime Systems,Credits,15000
Valkyr Prime Systems,Control Module,3
Valkyr Prime Systems,Tellurium,3
Valkyr Prime Systems,Polymer Bundle,15000
Valkyr Prime Systems,Plastids,500
Oberon Prime,Credits,25000
Oberon Prime,Oberon Prime Chassis,1
Oberon Prime,Oberon Prime Neuroptics,1
Oberon Prime,Oberon Prime Systems,1
Oberon Prime Neuroptics,Credits,15000
Oberon Prime Neuroptics,Control Module,10
Oberon Prime Neuroptics,Alloy Plate,4000
Oberon Prime Neuroptics,Circuits,1500
Oberon Prime Neuroptics,Nitain Extract,2
Oberon Prime Chassis,Credits,15000
Oberon Prime Chassis,Gallium,3
Oberon Prime Chassis,Oxium,100
Oberon Prime Chassis,Rubedo,1250
Oberon Prime Chassis,Salvage,7500
Oberon Prime Systems,Credits,15000
Oberon Prime Systems,Argon Crystal,2
Oberon Prime Systems,Plastids,250
Oberon Prime Systems,Nano Spores,6000
Oberon Prime Systems,Polymer Bundle,1250
Mag Prime,Credits,25000
Mag Prime,Mag Prime Chassis,1
Mag Prime,Mag Prime Neuroptics,1
Mag Prime,Mag Prime Systems,1
Mag Prime Neuroptics,Credits,15000
Mag Prime Neuroptics,Alloy Plate,150
Mag Prime Neuroptics,Neural Sensors,2
Mag Prime Neuroptics,Polymer Bundle,150
Mag Prime Neuroptics,Rubedo,750
Mag Prime Chassis,Credits,15000
Mag Prime Chassis,Morphics,3
Mag Prime Chassis,Ferrite,1000
Mag Prime Chassis,Rubedo,400
Mag Prime Systems,Credits,15000
Mag Prime Systems,Control Module,3
Mag Prime Systems,Morphics,1
Mag Prime Systems,Salvage,500
Mag Prime Systems,Plastids,500
Rhino Prime,Credits,25000
Rhino Prime,Rhino Prime Chassis,1
Rhino Prime,Rhino Prime Neuroptics,1
Rhino Prime,Rhino Prime Systems,1
Rhino Prime Neuroptics,Credits,15000
Rhino Prime Neuroptics,Alloy Plate,150
Rhino Prime Neuroptics,Neural Sensors,2
Rhino Prime Neuroptics,Polymer Bundle,150
Rhino Prime Neuroptics,Rubedo,750
Rhino Prime Chassis,Credits,15000
Rhino Prime Chassis,Morphics,3
Rhino Prime Chassis,Ferrite,1000
Rhino Prime Chassis,Plastids,400
Rhino Prime Systems,Credits,15000
Rhino Prime Systems,Control Module,3
Rhino Prime Systems,Morphics,1
Rhino Prime Systems,Ferrite,500
Rhino Prime Systems,Plastids,500
Volt Prime,Credits,25000
Volt Prime,Volt Prime Chassis,1
Volt Prime,Volt Prime Neuroptics,1
Volt Prime,Volt Prime Systems,1
Volt Prime Neuroptics,Credits,15000
Volt Prime Neuroptics,Alloy Plate,150
Volt Prime Neuroptics,Neurodes,2
Volt Prime Neuroptics,Polymer Bundle,1000
Volt Prime Neuroptics,Circuits,750
Volt Prime Chassis,Credits,15000
Volt Prime Chassis,Neural Sensors,3
Volt Prime Chassis,Alloy Plate,1000
Volt Prime Chassis,Rubedo,400
Volt Prime Systems,Credits,15000
Volt Prime Systems,Control Module,3
Volt Prime Systems,Orokin Cell,1
Volt Prime Systems,Salvage,1000
Volt Prime Systems,Circuits,500
Vauban Prime,Credits,25000
Vauban Prime,Vauban Prime Chassis,1
Vauban Prime,Vauban Prime Neuroptics,1
Vauban Prime,Vauban Prime Systems,1
Vauban Prime Neuroptics,Credits,15000
Vauban Prime Neuroptics,Nitain Extract,5
Vauban Prime Neuroptics,Salvage,16000
Vauban Prime Neuroptics,Rubedo,8000
Vauban Prime Neuroptics,Alloy Plate,18000
Vauban Prime Chassis,Credits,15000
Vauban Prime Chassis,Argon Crystal,2
Vauban Prime Chassis,Nitain Extract,5
Vauban Prime Chassis,Oxium,7000
Vauban Prime Chassis,Alloy Plate,13000
Vauban Prime Systems,Credits,15000
Vauban Prime Systems,Nitain Extract,5
Vauban Prime Systems,Cryotic,9000
Vauban Prime Systems,Orokin Cell,1
Vauban Prime Systems,Circuits,5000
Trinity Prime,Credits,25000
Trinity Prime,Trinity Prime Chassis,1
Trinity Prime,Trinity Prime Neuroptics,1
Trinity Prime,Trinity Prime Systems,1
Trinity Prime Neuroptics,Credits,15000
Trinity Prime Neuroptics,Oxium,450
Trinity Prime Neuroptics,Neural Sensors,2
Trinity Prime Neuroptics,Nano Spores,9000
Trinity Prime Neuroptics,Rubedo,1100
Trinity Prime Chassis,Credits,15000
Trinity Prime Chassis,Argon Crystal,2
Trinity Prime Chassis,Oxium,500
Trinity Prime Chassis,Circuits,1200
Trinity Prime Systems,Credits,15000
Trinity Prime Systems,Control Module,3
Trinity Prime Systems,Orokin Cell,1
Trinity Prime Systems,Cryotic,9000
Trinity Prime Systems,Circuits,1350
Zephyr Prime,Credits,25000
Zephyr Prime,Zephyr Prime Chassis,1
Zephyr Prime,Zephyr Prime Neuroptics,1
Zephyr Prime,Zephyr Prime Systems,1
Zephyr Prime Neuroptics,Credits,15000
Zephyr Prime Neuroptics,Neural Sensors,3
Zephyr Prime Neuroptics,Oxium,250
Zephyr Prime Neuroptics,Plastids,350
Zephyr Prime Neuroptics,Alloy Plate,4250
Zephyr Prime Chassis,Credits,15000
Zephyr Prime Chassis,Nitain Extract,2
Zephyr Prime Chassis,Tellurium,2
Zephyr Prime Chassis,Ferrite,3600
Zephyr Prime Chassis,Oxium,300
Zephyr Prime Systems,Credits,15000
Zephyr Prime Systems,Argon Crystal,2
Zephyr Prime Systems,Neurodes,3
Zephyr Prime Systems,Cryotic,550
Zephyr Prime Systems,Nano Spores,3175
Octavia Prime,Credits,25000
Octavia Prime,Octavia Prime Chassis,1
Octavia Prime,Octavia Prime Neuroptics,1
Octavia Prime,Octavia Prime Systems,1
Octavia Prime Neuroptics,Credits,15000
Octavia Prime Neuroptics,Neural Sensors,8
Octavia Prime Neuroptics,Control Module,10
Octavia Prime Neuroptics,Oxium,250
Octavia Prime Neuroptics,Salvage,3750
Octavia Prime Chassis,Credits,15000
Octavia Prime Chassis,Argon Crystal,2
Octavia Prime Chassis,Morphics,8
Octavia Prime Chassis,Rubedo,1200
Octavia Prime Chassis,Ferrite,4250
Octavia Prime Systems,Credits,15000
Octavia Prime Systems,Nitain Extract,2
Octavia Prime Systems,Cryotic,370
Octavia Prime Systems,Circuits,875
Octavia Prime Systems,Nano Spores,4800
Ash Prime,Credits,25000
Ash Prime,Ash Prime Chassis,1
Ash Prime,Ash Prime Neuroptics,1
Ash Prime,Ash Prime Systems,1
Ash Prime Neuroptics,Credits,15000
Ash Prime Neuroptics,Alloy Plate,150
Ash Prime Neuroptics,Neural Sensors,2
Ash Prime Neuroptics,Salvage,1000
Ash Prime Neuroptics,Rubedo,750
Ash Prime Chassis,Credits,15000
Ash Prime Chassis,Gallium,3
Ash Prime Chassis,Nano Spores,1000
Ash Prime Chassis,Rubedo,400
Ash Prime Systems,Credits,15000
Ash Prime Systems,Control Module,3
Ash Prime Systems,Orokin Cell,1
Ash Prime Systems,Ferrite,1000
Ash Prime Systems,Circuits,500
Banshee Prime,Credits,25000
Banshee Prime,Banshee Prime Chassis,1
Banshee Prime,Banshee Prime Neuroptics,1
Banshee Prime,Banshee Prime Systems,1
Banshee Prime Neuroptics,Credits,15000
Banshee Prime Neuroptics,Neural Sensors,2
Banshee Prime Neuroptics,Alloy Plate,6000
Banshee Prime Neuroptics,Circuits,1500
Banshee Prime Neuroptics,Nitain Extract,2
Banshee Prime Chassis,Credits,15000
Banshee Prime Chassis,Morphics,10
Banshee Prime Chassis,Cryotic,1500
Banshee Prime Chassis,Rubedo,2000
Banshee Prime Chassis,Salvage,7000
Banshee Prime Systems,Credits,15000
Banshee Prime Systems,Argon Crystal,2
Banshee Prime Systems,Control Module,10
Banshee Prime Systems,Oxium,300
Banshee Prime Systems,Ferrite,4500
Atlas Prime,Credits,25000
Atlas Prime,Atlas Prime Chassis,1
Atlas Prime,Atlas Prime Neuroptics,1
Atlas Prime,Atlas Prime Systems,1
Atlas Prime Neuroptics,Credits,15000
Atlas Prime Neuroptics,Neural Sensors,2
Atlas Prime Neuroptics,Cryotic,525
Atlas Prime Neuroptics,Salvage,4700
Atlas Prime Neuroptics,Oxium,200
Atlas Prime Chassis,Credits,15000
Atlas Prime Chassis,Tellurium,2
Atlas Prime Chassis,Nitain Extract,2
Atlas Prime Chassis,Rubedo,725
Atlas Prime Chassis,Ferrite,3600
Atlas Prime Systems,Credits,15000
Atlas Prime Systems,Argon Crystal,2
Atlas Prime Systems,Gallium,4
Atlas Prime Systems,Polymer Bundle,1200
Atlas Prime Systems,Alloy Plate,3200
Nezha Prime,Credits,25000
Nezha Prime,Nezha Prime Chassis,1
Nezha Prime,Nezha Prime Neuroptics,1
Nezha Prime,Nezha Prime Systems,1
Nezha Prime Neuroptics,Credits,15000
Nezha Prime Neuroptics,Alloy Plate,5500
Nezha Prime Neuroptics,Neural Sensors,6
Nezha Prime Neuroptics,Oxium,225
Nezha Prime Neuroptics,Argon Crystal,2
Nezha Prime Chassis,Credits,15000
Nezha Prime Chassis,Nitain Extract,2
Nezha Prime Chassis,Nano Spores,4750
Nezha Prime Chassis,Rubedo,1400
Nezha Prime Chassis,Morphics,8
Nezha Prime Systems,Credits,15000
Nezha Prime Systems,Control Module,10
Nezha Prime Systems,Tellurium,3
Nezha Prime Systems,Ferrite,4300
Nezha Prime Systems,Circuits,1450
Ivara Prime,Credits,25000
Ivara Prime,Ivara Prime Chassis,1
Ivara Prime,Ivara Prime Neuroptics,1
Ivara Prime,Ivara Prime Systems,1
Ivara Prime Neuroptics,Credits,15000
Ivara Prime Neuroptics,Argon Crystal,2
Ivara Prime Neuroptics,Cryotic,600
Ivara Prime Neuroptics,Circuits,750
Ivara Prime Neuroptics,Salvage,4250
Ivara Prime Chassis,Credits,15000
Ivara Prime Chassis,Nitain Extract,2
Ivara Prime Chassis,Control Module,5
Ivara Prime Chassis,Plastids,250
Ivara Prime Chassis,Nano Spores,1800
Ivara Prime Systems,Credits,15000
Ivara Prime Systems,Neurodes,4
Ivara Prime Systems,Morphics,9
Ivara Prime Systems,Oxium,175
Ivara Prime Systems,Ferrite,3200
Wukong Prime,Credits,25000
Wukong Prime,Wukong Prime Chassis,1
Wukong Prime,Wukong Prime Neuroptics,1
Wukong Prime,Wukong Prime Systems,1
Wukong Prime Neuroptics,Credits,15000
Wukong Prime Neuroptics,Neurodes,4
Wukong Prime Neuroptics,Rubedo,750
Wukong Prime Neuroptics,Plastids,200
Wukong Prime Neuroptics,Alloy Plate,3550
Wukong Prime Chassis,Credits,15000
Wukong Prime Chassis,Argon Crystal,2
Wukong Prime Chassis,Control Module,6
Wukong Prime Chassis,Circuits,825
Wukong Prime Chassis,Nano Spores,2200
Wukong Prime Systems,Credits,15000
Wukong Prime Systems,Nitain Extract,2
Wukong Prime Systems,Morphics,7
Wukong Prime Systems,Polymer Bundle,1150
Wukong Prime Systems,Ferrite,3800
Mesa Prime,Credits,25000
Mesa Prime,Mesa Prime Chassis,1
Mesa Prime,Mesa Prime Neuroptics,1
Mesa Prime,Mesa Prime Systems,1
Mesa Prime Neuroptics,Credits,15000
Mesa Prime Neuroptics,Argon Crystal,2
Mesa Prime Neuroptics,Neural Sensors,2
Mesa Prime Neuroptics,Rubedo,350
Mesa Prime Neuroptics,Ferrite,1250
Mesa Prime Chassis,Credits,15000
Mesa Prime Chassis,Nitain Extract,2
Mesa Prime Chassis,Gallium,3
Mesa Prime Chassis,Nano Spores,575
Mesa Prime Chassis,Polymer Bundle,450
Mesa Prime Systems,Credits,15000
Mesa Prime Systems,Morphics,5
Mesa Prime Systems,Control Module,3
Mesa Prime Systems,Circuits,275
Mesa Prime Systems,Salvage,625
Gara Prime,Credits,25000
Gara Prime,Gara Prime Chassis,1
Gara Prime,Gara Prime Neuroptics,1
Gara Prime,Gara Prime Systems,1
Gara Prime Neuroptics,Credits,15000
Gara Prime Neuroptics,Neurodes,10
Gara Prime Neuroptics,Argon Crystal,2
Gara Prime Neuroptics,Rubedo,1500
Gara Prime Neuroptics,Ferrite,6750
Gara Prime Chassis,Credits,15000
Gara Prime Chassis,Gallium,7
Gara Prime Chassis,Polymer Bundle,2150
Gara Prime Chassis,Oxium,250
Gara Prime Chassis,Nano Spores,8750
Gara Prime Systems,Credits,15000
Gara Prime Systems,Nitain Extract,2
Gara Prime Systems,Tellurium,2
Gara Prime Systems,Circuits,1350
Gara Prime Systems,Salvage,4375
Bubonico,Credits,20000
Bubonico,Mutagen Mass,10
Bubonico,Argon Crystal,3
Bubonico,Plastids,1200
Bubonico,Nano Spores,22000
Rubico Prime,Credits,15000
Rubico Prime,Rubico Prime Stock,1
Rubico Prime,Rubico Prime Receiver,1
Rubico Prime,Rubico Prime Barrel,1
Rubico Prime,Orokin Cell,10
Zhuge Prime,Credits,15000
Zhuge Prime,Zhuge Prime Grip,1
Zhuge Prime,Zhuge Prime String,1
Zhuge Prime,Zhuge Prime Barrel,1
Zhuge Prime,Zhuge Prime Receiver,1
Battacor,Credits,25000
Battacor,Fieldron,10
Battacor,Tepa Nodule,40
Battacor,Heart Noctrul,25
Battacor,Entroplasma,20
Ferrox,Credits,30000
Ferrox,Fieldron,5
Ferrox,Alloy Plate,30000
Ferrox,Salvage,35000
Ferrox,Forma,1
Opticor,Credits,30000
Opticor,Fieldron,5
Opticor,Gallium,20
Opticor,Cryotic,600
Opticor,Forma,1
Basmu,Credits,25000
Basmu,Titanium,1500
Basmu,Carbides,800
Basmu,Isos,450
Basmu,Nullstones,1
Karak,Credits,30000
Karak,Neurodes,2
Karak,Alloy Plate,400
Karak,Salvage,900
Karak,Polymer Bundle,100
Lanka,Credits,30000
Lanka,Fieldron,5
Lanka,Gallium,20
Lanka,Alloy Plate,600
Lanka,Forma,1
Mutalist Cernos,Credits,15000
Mutalist Cernos,Cernos,1
Mutalist Cernos,Plastids,1400
Mutalist Cernos,Cryotic,1200
Mutalist Cernos,Nano Spores,2300
Phantasma,Credits,20000
Phantasma,Argon Crystal,2
Phantasma,Quills Common Pickup,10
Phantasma,Plastids,650
Phantasma,Nano Spores,12500
Hind,Credits,25000
Hind,Neurodes,6
Hind,Circuits,700
Hind,Salvage,1000
Hind,Rubedo,1200
Vulkar,Credits,20000
Vulkar,Morphics,5
Vulkar,Circuits,800
Vulkar,Salvage,1200
Vulkar,Plastids,800
Hek,Credits,25000
Hek,Neurodes,5
Hek,Circuits,900
Hek,Salvage,1200
Hek,Rubedo,1000
Phage,Credits,30000
Phage,Mutagen Mass,4
Phage,Circuits,1500
Phage,Nano Spores,6000
Phage,Forma,1
Ambassador,Credits,25000
Ambassador,Ambassador Barrel,1
Ambassador,Ambassador Receiver,1
Ambassador,Ambassador Stock,1
Ambassador,Platinum,1
Ambassador Barrel,Credits,15000
Ambassador Barrel,Cubic Diodes,200
Ambassador Barrel,Isos,5
Ambassador Barrel,Morphics,1
Ambassador Barrel,Oxium,500
Ambassador Receiver,Credits,15000
Ambassador Receiver,Carbides,200
